#Tempo	Árvores	Fogo	Cinza
0	7075	0	0
1	7075	1	0
2	7074	6	1
3	7068	13	7
4	7055	15	20
5	7040	16	35
6	7024	23	51
7	7001	26	74
8	6975	31	100
9	6944	40	131
10	6904	48	171
11	6856	45	219
12	6811	46	264
13	6765	59	310
14	6706	75	369
15	6631	75	444
16	6556	82	519
17	6474	93	601
18	6381	91	694
19	6290	96	785
20	6194	90	881
21	6104	97	971
22	6007	116	1068
23	5891	124	1184
24	5767	106	1308
25	5661	125	1414
26	5536	136	1539
27	5400	150	1675
28	5250	148	1825
29	5102	147	1973
30	4955	149	2120
31	4806	159	2269
32	4647	171	2428
33	4476	141	2599
34	4335	135	2740
35	4200	135	2875
36	4065	142	3010
37	3923	152	3152
38	3771	155	3304
39	3616	147	3459
40	3469	145	3606
41	3324	143	3751
42	3181	140	3894
43	3041	152	4034
44	2889	150	4186
45	2739	120	4336
46	2619	122	4456
47	2497	121	4578
48	2376	133	4699
49	2243	122	4832
50	2121	122	4954
51	1999	126	5076
52	1873	131	5202
53	1742	134	5333
54	1608	125	5467
55	1483	116	5592
56	1367	120	5708
57	1247	123	5828
58	1124	144	5951
59	980	104	6095
60	876	77	6199
61	799	78	6276
62	721	82	6354
63	639	77	6436
64	562	75	6513
65	487	69	6588
66	418	84	6657
67	334	79	6741
68	255	70	6820
69	185	65	6890
70	120	68	6955
71	52	21	7023
72	31	20	7044
73	11	7	7064
74	4	2	7071
75	2	0	7073
